probe_id	gene_id	symbol
1718_at	10109	ARPC2
1719_at	4437	MSH3
171_at	7411	VBP1
1720_at	4085	MAD2L1
1721_g_at	4085	MAD2L1
1722_at	5607	MAP2K5
1723_g_at	2065	ERBB3
1724_at	1874	E2F4
1725_s_at	7337	UBE3A
1726_at	5426	POLE
1727_at	2066	ERBB4
1729_at	8717	TRADD
172_at	3635	INPP5D
1730_s_at	2249	FGF4
1731_at	5156	PDGFRA
1732_at	2250	FGF5
1733_at	654	BMP6
1734_at	7043	TGFB3
1735_g_at	7043	TGFB3
1736_at	3489	IGFBP6
1737_s_at	3487	IGFBP4
1738_at	993	CDC25A
173_at	1016	CDH18
1741_s_at	3485	IGFBP2
1742_at	2065	ERBB3
1743_s_at	6498	SKIL
1745_at	5979	RET
1746_s_at	7186	TRAF2
1747_at	1777	DNASE2
1748_s_at	10661	KLF1
1749_at	2639	GCDH
174_s_at	50618	ITSN2
1750_at	2193	FARSA
1751_g_at	2193	FARSA
1752_at	811	CALR
1753_s_at	5886	RAD23A
1754_at	1616	DAXX
1755_i_at	1576	CYP3A4
1756_f_at	1576	CYP3A4
175_s_at	5585	PKN1
1760_s_at	5778	PTPN7
1761_at	5157	PDGFRL
1762_at	5382	PMS2P4
1763_at	5383	PMS2P5
1764_s_at	4150	MAZ
1765_at	843	CASP10
1766_g_at	843	CASP10
1767_s_at	7043	TGFB3
1768_s_at	1445	CSK
1769_at	22983	MAST1
176_at	5527	PPP2R5C
1770_at	3440	IFNA2
1771_s_at	5159	PDGFRB
1772_s_at	2339	FNTA
1774_at	4084	MXD1
1775_at	23649	POLA2
1776_at	6236	RRAD
1777_at	9610	RIN1
1778_g_at	9610	RIN1
1779_s_at	5292	PIM1
177_at	5337	PLD1
1780_at	2268	FGR
1781_at	2002	ELK1
1782_s_at	3925	STMN1
1783_at	54453	RIN2
1784_s_at	5926	ARID4A
1785_at	5927	KDM5A
1786_at	10461	MERTK
1787_at	1028	CDKN1C
1788_s_at	1846	DUSP4
1789_at	10987	COPS5
178_f_at	5379	PMS2P1
1790_s_at	8558	CDK10
1791_s_at	3440	IFNA2
1792_g_at	1017	CDK2
1793_at	8621	CDK13
1794_at	896	CCND3
1795_g_at	896	CCND3
1797_at	1032	CDKN2D
1798_at	25800	SLC39A6
1799_at	2072	ERCC4
179_at	441263	DTX2P1-UPK3BP1-PMS2P11
1800_g_at	2072	ERCC4
1801_at	580	BARD1
1802_s_at	2064	ERBB2
1803_at	983	CDK1
1804_at	354	KLK3
1805_g_at	354	KLK3
1806_at	4168	MCF2
1807_g_at	4168	MCF2
1808_s_at	355	FAS
1809_at	8317	CDC7
180_at	79143	MBOAT7
1810_s_at	5580	PRKCD
1811_at	5794	PTPRH
1812_s_at	4233	MET
1813_at	64285	RHBDF1
1814_at	7048	TGFBR2
1815_g_at	7048	TGFBR2
1816_at	5922	RASA2
1817_at	5204	PFDN5
1818_at	23433	RHOQ
1819_at	5911	RAP2A
181_g_at	79143	MBOAT7
1821_at	5912	RAP2B
1822_at	5979	RET
1823_g_at	5979	RET
1824_s_at	5111	PCNA
1825_at	8826	IQGAP1
1826_at	388	RHOB
1827_s_at	4609	MYC
1828_s_at	2247	FGF2
182_at	3710	ITPR3
1830_s_at	7040	TGFB1
1831_at	653	BMP5
1832_at	4163	MCC
1833_at	1017	CDK2
1834_at	11245	GPR176
1836_at	10983	CCNI
1837_at	22800	RRAS2
1838_g_at	22800	RRAS2
1839_at	5901	RAN
183_at	4133	MAP2
1840_g_at	5901	RAN
1841_s_at	10408	MYCNOS
1842_at	1649	DDIT3
1843_at	5987	TRIM27
1844_s_at	5604	MAP2K1
1845_at	6416	MAP2K4
1846_at	3964	LGALS8
1847_s_at	596	BCL2
1848_at	5906	RAP1A
1849_s_at	5926	ARID4A
184_at	187	APLNR
1850_at	4292	MLH1
1851_s_at	356	FASLG
1852_at	7124	TNF
1853_at	7471	WNT1
1854_at	4605	MYBL2
1855_at	2248	FGF3
1856_at	5966	REL
1857_at	4092	SMAD7
1858_at	356	FASLG
1859_s_at	4193	MDM2
185_at	4857	NOVA1
1860_at	7159	TP53BP2
1861_at	572	BAD
1862_at	472	ATM
1865_at	6498	SKIL
1866_g_at	6498	SKIL
1867_at	8837	CFLAR
1868_g_at	8837	CFLAR
1869_at	7015	TERT
186_at	5563	PRKAA2
1870_at	5781	PTPN11
1871_g_at	5781	PTPN11
1872_at	5888	RAD51
1873_at	7508	XPC
1874_at	5887	RAD23B
1875_f_at	5387	PMS2P3
1876_at	5898	RALA
1877_g_at	5898	RALA
1878_g_at	2067	ERCC1
1879_at	6237	RRAS
187_at	5871	MAP4K2
1880_at	4193	MDM2
1881_at	2122	MECOM
1882_g_at	2122	MECOM
1883_s_at	4299	AFF1
1884_s_at	5111	PCNA
1885_at	2071	ERCC3
1886_at	7476	WNT7A
1887_g_at	7476	WNT7A
1888_s_at	3815	KIT
188_at	1947	EFNB1
1890_at	9518	GDF15
1891_at	1326	MAP3K8
1892_s_at	4914	NTRK1
